time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-06-02 00:00:00,10.6,4.5,66.0,0.0,,160.0,14.4,21.2,1011.2,0.0,3.0
2025-06-02 01:00:00,10.3,4.2,66.0,0.0,,160.0,14.4,24.1,1010.8,,2.0
2025-06-02 02:00:00,10.5,4.4,66.0,0.0,,160.0,14.4,26.6,1010.0,,3.0
2025-06-02 03:00:00,11.5,4.7,63.0,0.0,,160.0,14.4,27.7,1008.9,,3.0
2025-06-02 04:00:00,12.0,5.2,63.0,0.0,,160.0,14.4,29.9,1008.4,,3.0
2025-06-02 05:00:00,13.4,6.3,62.0,0.0,,160.0,14.4,30.6,1007.6,,3.0
2025-06-02 06:00:00,15.1,6.6,57.0,0.0,0.0,160.0,14.4,32.4,1006.6,24.0,3.0
2025-06-02 07:00:00,14.3,8.3,67.0,0.0,,180.0,10.8,32.4,1006.4,,3.0
2025-06-02 08:00:00,14.0,9.8,76.0,0.1,,200.0,10.8,30.6,1006.3,,7.0
2025-06-02 09:00:00,12.8,11.4,91.0,0.9,,180.0,10.8,34.2,1006.3,,7.0
2025-06-02 10:00:00,12.9,11.8,93.0,1.0,,190.0,10.8,31.7,1006.1,,8.0
2025-06-02 11:00:00,13.2,12.6,96.0,0.8,,170.0,10.8,32.8,1005.9,,8.0
2025-06-02 12:00:00,13.9,12.5,91.0,0.1,0.0,180.0,10.8,32.0,1005.7,0.0,7.0
2025-06-02 13:00:00,14.2,12.9,92.0,0.0,,210.0,7.2,26.6,1005.7,,3.0
2025-06-02 14:00:00,14.8,13.3,91.0,0.0,,210.0,10.8,28.4,1005.9,,3.0
2025-06-02 15:00:00,14.5,13.2,92.0,0.0,,230.0,14.4,29.2,1006.2,,3.0
2025-06-02 16:00:00,15.0,8.7,66.0,0.0,,260.0,18.0,28.1,1006.5,,3.0
2025-06-02 17:00:00,14.0,7.7,66.0,0.0,,260.0,14.4,30.2,1007.0,,2.0
2025-06-02 18:00:00,13.1,7.5,69.0,0.0,0.0,260.0,14.4,30.2,1007.3,60.0,1.0
2025-06-02 19:00:00,12.6,7.3,70.0,0.0,,240.0,10.8,25.9,1007.5,,1.0
2025-06-02 20:00:00,10.6,7.5,81.0,0.0,,210.0,7.2,18.4,1007.8,,1.0
2025-06-02 21:00:00,10.0,7.1,82.0,0.0,,190.0,11.0,20.9,1007.0,,3.0
2025-06-02 22:00:00,10.3,8.1,86.0,0.0,,190.0,10.8,23.4,1007.8,,3.0
2025-06-02 23:00:00,10.3,8.2,87.0,0.0,,200.0,10.8,24.8,1007.7,,3.0
2025-06-03 00:00:00,10.1,8.4,89.0,0.0,,210.0,10.8,26.3,1007.9,0.0,3.0
2025-06-03 01:00:00,10.2,9.0,92.0,0.0,,210.0,10.8,27.4,1007.9,,3.0
2025-06-03 02:00:00,10.4,9.5,94.0,0.0,,220.0,7.2,28.4,1008.0,,3.0
2025-06-03 03:00:00,10.7,9.8,94.0,0.0,,210.0,10.8,29.2,1008.0,,3.0
2025-06-03 04:00:00,11.6,10.0,90.0,0.0,,210.0,10.8,28.8,1008.3,,3.0
2025-06-03 05:00:00,12.9,10.4,85.0,0.0,,230.0,14.4,28.4,1008.6,,3.0
2025-06-03 06:00:00,13.5,9.9,79.0,0.0,0.0,220.0,14.4,29.5,1008.9,60.0,3.0
2025-06-03 07:00:00,15.8,11.0,73.0,0.0,,220.0,14.4,30.2,1009.0,,3.0
2025-06-03 08:00:00,16.5,9.7,64.0,0.0,,260.0,18.0,31.7,1009.2,,2.0
2025-06-03 09:00:00,17.5,8.1,54.0,0.0,,260.0,18.0,34.2,1009.5,,2.0
2025-06-03 10:00:00,16.5,8.5,59.0,0.0,,270.0,14.4,37.4,1009.8,,3.0
2025-06-03 11:00:00,16.8,7.7,55.0,0.0,,280.0,14.4,39.2,1010.1,,3.0
2025-06-03 12:00:00,16.2,6.6,53.0,0.0,0.0,280.0,18.0,42.1,1010.6,60.0,3.0
2025-06-03 13:00:00,15.1,6.6,57.0,0.0,,270.0,21.6,46.1,1010.9,,2.0
2025-06-03 14:00:00,15.3,6.6,56.0,0.0,,270.0,14.4,46.1,1010.9,,2.0
2025-06-03 15:00:00,14.4,6.0,57.0,0.0,,270.0,14.4,41.4,1010.8,,1.0
2025-06-03 16:00:00,13.6,6.7,63.0,0.0,,270.0,18.0,41.8,1011.0,,1.0
2025-06-03 17:00:00,13.4,6.5,63.0,0.0,,270.0,10.8,36.0,1011.0,,1.0
2025-06-03 18:00:00,12.5,6.8,68.0,0.0,0.0,260.0,10.8,30.2,1011.2,60.0,1.0
2025-06-03 19:00:00,11.0,6.9,76.0,0.0,,260.0,7.2,27.4,1011.5,,1.0
2025-06-03 20:00:00,9.6,6.9,83.0,0.0,,240.0,3.6,24.1,1011.7,,1.0
2025-06-03 21:00:00,8.7,6.7,87.0,0.0,,230.0,3.6,21.6,1011.8,,1.0
2025-06-03 22:00:00,8.4,6.9,90.0,0.0,,220.0,3.6,17.6,1012.0,,1.0
2025-06-03 23:00:00,10.0,6.0,76.0,0.0,,240.0,13.0,16.9,1012.0,,1.0
2025-06-04 00:00:00,7.5,6.0,90.0,0.0,,210.0,3.6,17.3,1012.2,0.0,1.0
2025-06-04 01:00:00,7.0,5.9,93.0,0.0,,200.0,3.6,18.7,1012.4,,1.0
2025-06-04 02:00:00,7.3,6.7,96.0,0.0,,210.0,7.2,18.0,1012.7,,1.0
2025-06-04 03:00:00,7.8,7.0,95.0,0.0,,200.0,3.6,19.8,1012.8,,1.0
2025-06-04 04:00:00,9.7,8.3,91.0,0.0,,210.0,7.2,22.0,1012.8,,1.0
2025-06-04 05:00:00,12.0,9.6,85.0,0.0,,220.0,7.2,23.4,1013.1,,2.0
2025-06-04 06:00:00,13.6,8.4,71.0,0.0,0.0,200.0,7.2,25.2,1013.1,60.0,1.0
2025-06-04 07:00:00,15.1,8.8,66.0,0.0,,200.0,10.8,26.3,1013.0,,1.0
2025-06-04 08:00:00,16.0,7.0,55.0,0.0,,220.0,14.8,30.2,1013.0,,1.0
2025-06-04 09:00:00,17.8,7.8,52.0,0.0,,210.0,10.8,34.2,1013.3,,2.0
2025-06-04 10:00:00,18.4,6.2,45.0,0.0,,220.0,14.4,34.6,1013.1,,1.0
2025-06-04 11:00:00,19.5,5.9,41.0,0.0,,220.0,10.8,35.6,1013.1,,1.0
2025-06-04 12:00:00,19.8,5.4,39.0,0.0,0.0,240.0,10.8,36.0,1012.8,60.0,1.0
2025-06-04 13:00:00,19.8,7.2,44.0,0.0,,240.0,10.8,40.3,1012.8,,1.0
2025-06-04 14:00:00,19.5,5.2,39.0,0.0,,240.0,14.4,38.2,1012.6,,1.0
2025-06-04 15:00:00,19.7,7.1,44.0,0.0,,190.0,7.2,31.7,1012.3,,2.0
2025-06-04 16:00:00,19.3,7.7,47.0,0.0,,210.0,10.8,31.7,1012.0,,1.0
2025-06-04 17:00:00,18.6,7.7,49.0,0.0,,200.0,10.8,28.8,1011.7,,1.0
2025-06-04 18:00:00,17.1,7.2,52.0,0.0,0.0,180.0,10.8,30.6,1011.4,0.0,1.0
2025-06-04 19:00:00,16.0,6.4,53.0,0.0,,160.0,10.8,28.4,1011.2,,2.0
2025-06-04 20:00:00,15.2,6.2,55.0,0.0,,150.0,14.4,28.1,1010.9,,3.0
2025-06-04 21:00:00,14.6,5.4,54.0,0.0,,160.0,14.4,31.7,1010.5,,3.0
2025-06-04 22:00:00,14.6,5.7,55.0,0.0,,160.0,14.4,29.9,1010.3,,3.0
2025-06-04 23:00:00,14.2,6.5,60.0,0.0,,160.0,14.4,31.0,1009.5,,3.0
2025-06-05 00:00:00,14.1,7.2,63.0,0.0,,160.0,14.4,32.0,1008.9,0.0,3.0
2025-06-05 01:00:00,13.7,7.0,64.0,0.0,,160.0,14.4,33.5,1008.1,,3.0
2025-06-05 02:00:00,14.5,7.1,61.0,0.0,,160.0,14.4,35.3,1007.7,,3.0
2025-06-05 03:00:00,15.0,7.3,60.0,0.8,,160.0,14.4,41.8,1007.3,,8.0
2025-06-05 04:00:00,14.8,7.8,63.0,0.2,,160.0,14.4,33.5,1006.7,,7.0
2025-06-05 05:00:00,15.5,8.2,62.0,0.6,,170.0,10.8,34.2,1006.4,,8.0
2025-06-05 06:00:00,14.5,10.7,78.0,0.0,0.0,180.0,10.8,29.2,1006.3,0.0,8.0
2025-06-05 07:00:00,13.6,11.5,87.0,0.4,,190.0,10.8,31.3,1006.5,,3.0
2025-06-05 08:00:00,14.4,12.8,90.0,0.2,,180.0,10.8,34.6,1006.1,,3.0
2025-06-05 09:00:00,17.2,13.3,78.0,0.0,,200.0,10.8,35.3,1006.0,,3.0
2025-06-05 10:00:00,18.0,13.1,73.0,0.0,,200.0,16.6,33.5,1006.0,,3.0
2025-06-05 11:00:00,19.6,14.8,74.0,0.0,,210.0,10.8,31.0,1006.6,,3.0
2025-06-05 12:00:00,20.4,15.2,72.0,0.0,0.0,250.0,14.4,31.7,1006.7,24.0,3.0
2025-06-05 13:00:00,20.7,15.0,70.0,0.0,,260.0,14.4,27.0,1006.6,,3.0
2025-06-05 14:00:00,17.7,11.9,69.0,0.0,,270.0,14.4,25.2,1007.2,,3.0
2025-06-05 15:00:00,16.8,10.6,67.0,0.0,,270.0,18.0,25.6,1007.6,,3.0
2025-06-05 16:00:00,16.0,10.3,69.0,0.0,,260.0,14.4,26.3,1007.7,,3.0
2025-06-05 17:00:00,15.2,9.5,69.0,0.0,,260.0,7.2,29.2,1007.9,,3.0
2025-06-05 18:00:00,13.8,8.0,68.0,0.0,0.0,270.0,7.2,27.4,1008.2,36.0,3.0
2025-06-05 19:00:00,12.9,8.4,74.0,0.0,,260.0,7.2,22.7,1008.6,,3.0
2025-06-05 20:00:00,12.9,8.4,74.0,0.0,,250.0,7.2,23.0,1008.9,,3.0
2025-06-05 21:00:00,11.8,7.7,76.0,0.0,,250.0,7.2,24.8,1008.9,,3.0
2025-06-05 22:00:00,9.9,7.3,84.0,0.0,,220.0,3.6,23.4,1009.0,,3.0
2025-06-05 23:00:00,9.0,7.1,88.0,0.0,,210.0,3.6,21.6,1008.7,,2.0
2025-06-06 00:00:00,8.7,6.8,88.0,0.0,,210.0,3.6,14.4,1009.1,0.0,3.0
2025-06-06 01:00:00,8.7,6.5,86.0,0.0,,210.0,3.6,11.9,1009.0,,3.0
2025-06-06 02:00:00,9.1,6.9,86.0,0.0,,190.0,3.6,11.5,1008.7,,3.0
2025-06-06 03:00:00,9.8,7.2,84.0,0.0,,180.0,3.6,13.3,1009.0,,3.0
2025-06-06 04:00:00,10.8,7.7,81.0,0.0,,180.0,7.2,12.2,1008.8,,3.0
2025-06-06 05:00:00,12.3,8.2,76.0,0.0,,170.0,7.2,17.6,1008.4,,3.0
2025-06-06 06:00:00,13.2,8.5,73.0,0.0,0.0,180.0,10.8,21.2,1008.6,0.0,3.0
2025-06-06 07:00:00,13.6,7.8,68.0,0.0,,180.0,10.8,22.3,1008.5,,3.0
2025-06-06 08:00:00,14.2,8.8,70.0,0.0,,170.0,14.4,24.1,1008.8,,3.0
2025-06-06 09:00:00,15.1,10.1,72.0,0.0,,190.0,10.8,24.8,1008.8,,3.0
2025-06-06 10:00:00,15.6,9.7,68.0,0.0,,200.0,10.8,25.6,1008.4,,3.0
2025-06-06 11:00:00,16.3,9.7,65.0,0.0,,210.0,10.8,27.7,1008.3,,3.0
2025-06-06 12:00:00,17.2,8.9,58.0,0.0,0.0,170.0,10.8,29.9,1007.8,30.0,3.0
2025-06-06 13:00:00,18.0,9.1,56.0,0.0,,180.0,11.2,28.8,1007.0,,3.0
2025-06-06 14:00:00,17.1,10.2,64.0,0.0,,180.0,10.8,30.2,1007.5,,3.0
2025-06-06 15:00:00,16.5,10.1,66.0,0.0,,170.0,10.8,29.5,1007.0,,3.0
2025-06-06 16:00:00,16.5,11.0,70.0,0.0,,170.0,7.2,27.7,1006.5,,3.0
2025-06-06 17:00:00,16.4,11.1,71.0,0.0,,160.0,10.8,27.7,1006.1,,3.0
2025-06-06 18:00:00,16.1,11.5,74.0,0.0,0.0,180.0,7.2,26.6,1005.9,0.0,3.0
2025-06-06 19:00:00,15.7,11.9,78.0,0.0,,180.0,7.2,26.3,1005.5,,3.0
2025-06-06 20:00:00,15.2,12.1,82.0,0.0,,160.0,7.2,25.6,1004.9,,3.0
2025-06-06 21:00:00,14.3,12.7,90.0,0.1,,160.0,10.8,24.8,1004.4,,3.0
2025-06-06 22:00:00,14.0,12.6,91.0,0.3,,150.0,10.8,23.4,1004.0,,3.0
2025-06-06 23:00:00,14.3,12.7,90.0,0.0,,170.0,14.4,25.2,1003.6,,3.0
2025-06-07 00:00:00,14.5,13.0,91.0,0.0,,190.0,10.8,34.6,1003.3,0.0,3.0
2025-06-07 01:00:00,14.2,12.1,87.0,0.0,,210.0,10.8,34.9,1003.2,,3.0
2025-06-07 02:00:00,13.7,11.6,87.0,0.0,,210.0,14.4,37.4,1003.2,,3.0
